standard_code,standard_description,domain,grade_level,prerequisite_standard_code,subject
CCSS.ELA.5.RL.A.2,"Determine a theme of a story, drama, or poem from details in the text, including how characters respond to challenges",Reading: Literature,5,CCSS.ELA.4.RL.A.2,ELA
CCSS.ELA.5.W.A.1,"Write opinion pieces on topics or texts, supporting a point of view with reasons and information organized logically",Writing,5,CCSS.ELA.4.W.A.1,ELA
NGSS.K-PS2-1,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object,Physical Science,0,,Science
NGSS.K-ESS3-1,Use a model to represent the relationship between the needs of different plants and animals and the places they live,Earth & Space Science,0,,Science
NGSS.1-LS1-1,Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive,Life Science,1,NGSS.K-ESS3-1,Science
NGSS.1-PS4-1,Plan and conduct investigations to provide evidence that vibrating materials can make sound and that sound can make materials vibrate,Physical Science,1,NGSS.K-PS2-1,Science
NGSS.2-PS1-1,Plan and conduct an investigation to describe and classify different kinds of materials by their observable properties,Physical Science,2,NGSS.1-PS4-1,Science
NGSS.2-LS4-1,Make observations of plants and animals to compare the diversity of life in different habitats,Life Science,2,NGSS.1-LS1-1,Science
NGSS.3-LS1-1,"Develop models to describe that organisms have unique and diverse life cycles but all have in common birth, growth, reproduction, and death",Life Science,3,NGSS.2-LS4-1,Science
NGSS.3-PS2-1,Plan and conduct an investigation to provide evidence of the effects of balanced and unbalanced forces on the motion of an object,Physical Science,3,NGSS.2-PS1-1,Science
NGSS.4-ESS1-1,Identify evidence from patterns in rock formations and fossils in rock layers to support an explanation for changes in a landscape over time,Earth & Space Science,4,NGSS.3-LS1-1,Science
NGSS.4-PS3-1,Use evidence to construct an explanation relating the speed of an object to the energy of that object,Physical Science,4,NGSS.3-PS2-1,Science
NGSS.5-PS1-1,Develop a model to describe that matter is made of particles too small to be seen,Physical Science,5,NGSS.4-PS3-1,Science
NGSS.5-ESS1-1,Support an argument that differences in the apparent brightness of the sun compared to other stars is due to their relative distances from Earth,Earth & Space Science,5,NGSS.4-ESS1-1,Science
